# File: A54.india_StubTranTechCost.csv
# Title: Non-energy sub technology transport cost
# Units: 1990$/VKM
# Column types: ccccicn
# ----------
region,supplysector,tranSubsector,stub.technology,year,minicam.non.energy.input,input.cost
India,trn_aviation_intl,International Aviation,Liquids,1975,non-energy,12.5342
India,trn_aviation_intl,International Aviation,Liquids,1990,non-energy,12.5342
India,trn_aviation_intl,International Aviation,Liquids,2005,non-energy,12.5342
India,trn_aviation_intl,International Aviation,Liquids,2010,non-energy,12.2287
India,trn_aviation_intl,International Aviation,Liquids,2015,non-energy,11.9231
India,trn_aviation_intl,International Aviation,Liquids,2020,non-energy,11.6175
India,trn_aviation_intl,International Aviation,Liquids,2025,non-energy,11.4737
India,trn_aviation_intl,International Aviation,Liquids,2030,non-energy,11.3298
India,trn_aviation_intl,International Aviation,Liquids,2035,non-energy,11.1859
India,trn_aviation_intl,International Aviation,Liquids,2040,non-energy,11.2994
India,trn_aviation_intl,International Aviation,Liquids,2045,non-energy,11.4128
India,trn_aviation_intl,International Aviation,Liquids,2050,non-energy,11.5263
India,trn_aviation_intl,International Aviation,Liquids,2055,non-energy,11.5263
India,trn_aviation_intl,International Aviation,Liquids,2060,non-energy,11.5263
India,trn_aviation_intl,International Aviation,Liquids,2065,non-energy,11.5263
India,trn_aviation_intl,International Aviation,Liquids,2070,non-energy,11.5263
India,trn_aviation_intl,International Aviation,Liquids,2075,non-energy,11.5263
India,trn_aviation_intl,International Aviation,Liquids,2080,non-energy,11.5263
India,trn_aviation_intl,International Aviation,Liquids,2085,non-energy,11.5263
India,trn_aviation_intl,International Aviation,Liquids,2090,non-energy,11.5263
India,trn_aviation_intl,International Aviation,Liquids,2095,non-energy,11.5263
India,trn_aviation_intl,International Aviation,Liquids,2100,non-energy,11.5263
India,trn_freight,Freight Rail,Coal,1975,non-energy,0
India,trn_freight,Freight Rail,Coal,1990,non-energy,0
India,trn_freight,Freight Rail,Coal,2005,non-energy,0
India,trn_freight,Freight Rail,Coal,2010,non-energy,0
India,trn_freight,Freight Rail,Coal,2015,non-energy,0
India,trn_freight,Freight Rail,Coal,2020,non-energy,0
India,trn_freight,Freight Rail,Coal,2025,non-energy,0
India,trn_freight,Freight Rail,Coal,2030,non-energy,0
India,trn_freight,Freight Rail,Coal,2035,non-energy,0
India,trn_freight,Freight Rail,Coal,2040,non-energy,0
India,trn_freight,Freight Rail,Coal,2045,non-energy,0
India,trn_freight,Freight Rail,Coal,2050,non-energy,0
India,trn_freight,Freight Rail,Coal,2055,non-energy,0
India,trn_freight,Freight Rail,Coal,2060,non-energy,0
India,trn_freight,Freight Rail,Coal,2065,non-energy,0
India,trn_freight,Freight Rail,Coal,2070,non-energy,0
India,trn_freight,Freight Rail,Coal,2075,non-energy,0
India,trn_freight,Freight Rail,Coal,2080,non-energy,0
India,trn_freight,Freight Rail,Coal,2085,non-energy,0
India,trn_freight,Freight Rail,Coal,2090,non-energy,0
India,trn_freight,Freight Rail,Coal,2095,non-energy,0
India,trn_freight,Freight Rail,Coal,2100,non-energy,0
India,trn_freight,Freight Rail,Electric,1975,non-energy,12.57387
India,trn_freight,Freight Rail,Electric,1990,non-energy,12.57387
India,trn_freight,Freight Rail,Electric,2005,non-energy,12.57387
India,trn_freight,Freight Rail,Electric,2010,non-energy,12.5741
India,trn_freight,Freight Rail,Electric,2015,non-energy,12.574215
India,trn_freight,Freight Rail,Electric,2020,non-energy,12.574445
India,trn_freight,Freight Rail,Electric,2025,non-energy,12.57456
India,trn_freight,Freight Rail,Electric,2030,non-energy,12.57479
India,trn_freight,Freight Rail,Electric,2035,non-energy,12.57502
India,trn_freight,Freight Rail,Electric,2040,non-energy,12.575135
India,trn_freight,Freight Rail,Electric,2045,non-energy,12.575365
India,trn_freight,Freight Rail,Electric,2050,non-energy,12.57548
India,trn_freight,Freight Rail,Electric,2055,non-energy,12.57571
India,trn_freight,Freight Rail,Electric,2060,non-energy,12.57594
India,trn_freight,Freight Rail,Electric,2065,non-energy,12.576055
India,trn_freight,Freight Rail,Electric,2070,non-energy,12.576285
India,trn_freight,Freight Rail,Electric,2075,non-energy,12.5764
India,trn_freight,Freight Rail,Electric,2080,non-energy,12.57663
India,trn_freight,Freight Rail,Electric,2085,non-energy,12.576745
India,trn_freight,Freight Rail,Electric,2090,non-energy,12.57686
India,trn_freight,Freight Rail,Electric,2095,non-energy,12.57709
India,trn_freight,Freight Rail,Electric,2100,non-energy,12.57709
India,trn_freight,Freight Rail,Liquids,1975,non-energy,19.62728
India,trn_freight,Freight Rail,Liquids,1990,non-energy,19.62728
India,trn_freight,Freight Rail,Liquids,2005,non-energy,19.62728
India,trn_freight,Freight Rail,Liquids,2010,non-energy,19.62912
India,trn_freight,Freight Rail,Liquids,2015,non-energy,19.631075
India,trn_freight,Freight Rail,Liquids,2020,non-energy,19.63303
India,trn_freight,Freight Rail,Liquids,2025,non-energy,19.6351
India,trn_freight,Freight Rail,Liquids,2030,non-energy,19.637055
India,trn_freight,Freight Rail,Liquids,2035,non-energy,19.63901
India,trn_freight,Freight Rail,Liquids,2040,non-energy,19.640965
India,trn_freight,Freight Rail,Liquids,2045,non-energy,19.64292
India,trn_freight,Freight Rail,Liquids,2050,non-energy,19.644875
India,trn_freight,Freight Rail,Liquids,2055,non-energy,19.646715
India,trn_freight,Freight Rail,Liquids,2060,non-energy,19.64867
India,trn_freight,Freight Rail,Liquids,2065,non-energy,19.650625
India,trn_freight,Freight Rail,Liquids,2070,non-energy,19.65258
India,trn_freight,Freight Rail,Liquids,2075,non-energy,19.654535
India,trn_freight,Freight Rail,Liquids,2080,non-energy,19.65649
India,trn_freight,Freight Rail,Liquids,2085,non-energy,19.65833
India,trn_freight,Freight Rail,Liquids,2090,non-energy,19.660285
India,trn_freight,Freight Rail,Liquids,2095,non-energy,19.66224
India,trn_freight,Freight Rail,Liquids,2100,non-energy,19.66224
India,trn_freight,Domestic Ship,Liquids,1975,non-energy,0.6632
India,trn_freight,Domestic Ship,Liquids,1990,non-energy,0.6632
India,trn_freight,Domestic Ship,Liquids,2005,non-energy,0.6632
India,trn_freight,Domestic Ship,Liquids,2010,non-energy,0.6632
India,trn_freight,Domestic Ship,Liquids,2015,non-energy,0.6632
India,trn_freight,Domestic Ship,Liquids,2020,non-energy,0.6632
India,trn_freight,Domestic Ship,Liquids,2025,non-energy,0.6632
India,trn_freight,Domestic Ship,Liquids,2030,non-energy,0.6632
India,trn_freight,Domestic Ship,Liquids,2035,non-energy,0.6632
India,trn_freight,Domestic Ship,Liquids,2040,non-energy,0.6632
India,trn_freight,Domestic Ship,Liquids,2045,non-energy,0.6632
India,trn_freight,Domestic Ship,Liquids,2050,non-energy,0.6632
India,trn_freight,Domestic Ship,Liquids,2055,non-energy,0.6632
India,trn_freight,Domestic Ship,Liquids,2060,non-energy,0.6632
India,trn_freight,Domestic Ship,Liquids,2065,non-energy,0.6632
India,trn_freight,Domestic Ship,Liquids,2070,non-energy,0.6632
India,trn_freight,Domestic Ship,Liquids,2075,non-energy,0.6632
India,trn_freight,Domestic Ship,Liquids,2080,non-energy,0.6632
India,trn_freight,Domestic Ship,Liquids,2085,non-energy,0.6632
India,trn_freight,Domestic Ship,Liquids,2090,non-energy,0.6632
India,trn_freight,Domestic Ship,Liquids,2095,non-energy,0.6632
India,trn_freight,Domestic Ship,Liquids,2100,non-energy,0.6632
India,trn_freight_road,Truck,Electric,1975,non-energy,0.258884386
India,trn_freight_road,Truck,Electric,1990,non-energy,0.21269001
India,trn_freight_road,Truck,Electric,2005,non-energy,0.174738388
India,trn_freight_road,Truck,Electric,2010,non-energy,0.223624354
India,trn_freight_road,Truck,Electric,2015,non-energy,0.17922408
India,trn_freight_road,Truck,Electric,2020,non-energy,0.147904158
India,trn_freight_road,Truck,Electric,2025,non-energy,0.122057482
India,trn_freight_road,Truck,Electric,2030,non-energy,0.10063331
India,trn_freight_road,Truck,Electric,2035,non-energy,0.082925302
India,trn_freight_road,Truck,Electric,2040,non-energy,0.068574621
India,trn_freight_road,Truck,Electric,2045,non-energy,0.057760419
India,trn_freight_road,Truck,Electric,2050,non-energy,0.054909865
India,trn_freight_road,Truck,Electric,2055,non-energy,0.054325718
India,trn_freight_road,Truck,Electric,2060,non-energy,0.052573275
India,trn_freight_road,Truck,Electric,2065,non-energy,0.051989128
India,trn_freight_road,Truck,Electric,2070,non-energy,0.051089953
India,trn_freight_road,Truck,Electric,2075,non-energy,0.049557255
India,trn_freight_road,Truck,Electric,2080,non-energy,0.048070537
India,trn_freight_road,Truck,Electric,2085,non-energy,0.046628421
India,trn_freight_road,Truck,Electric,2090,non-energy,0.045229568
India,trn_freight_road,Truck,Electric,2095,non-energy,0.043872681
India,trn_freight_road,Truck,Electric,2100,non-energy,0.043872681
India,trn_freight_road,Truck,FCEV,1975,non-energy,1.22744661
India,trn_freight_road,Truck,FCEV,1990,non-energy,1.22744661
India,trn_freight_road,Truck,FCEV,2005,non-energy,1.22744661
India,trn_freight_road,Truck,FCEV,2010,non-energy,0.29300885
India,trn_freight_road,Truck,FCEV,2015,non-energy,0.243638605
India,trn_freight_road,Truck,FCEV,2020,non-energy,0.208601887
India,trn_freight_road,Truck,FCEV,2025,non-energy,0.178603662
India,trn_freight_road,Truck,FCEV,2030,non-energy,0.15277624
India,trn_freight_road,Truck,FCEV,2035,non-energy,0.130613849
India,trn_freight_road,Truck,FCEV,2040,non-energy,0.112060791
India,trn_freight_road,Truck,FCEV,2045,non-energy,0.096041034
India,trn_freight_road,Truck,FCEV,2050,non-energy,0.08222943
India,trn_freight_road,Truck,FCEV,2055,non-energy,0.068250427
India,trn_freight_road,Truck,FCEV,2060,non-energy,0.05841475
India,trn_freight_road,Truck,FCEV,2065,non-energy,0.056662308
India,trn_freight_road,Truck,FCEV,2070,non-energy,0.054962438
India,trn_freight_road,Truck,FCEV,2075,non-energy,0.053313565
India,trn_freight_road,Truck,FCEV,2080,non-energy,0.051714158
India,trn_freight_road,Truck,FCEV,2085,non-energy,0.050162733
India,trn_freight_road,Truck,FCEV,2090,non-energy,0.048657851
India,trn_freight_road,Truck,FCEV,2095,non-energy,0.047198116
India,trn_freight_road,Truck,FCEV,2100,non-energy,0.045782172
India,trn_freight_road,Truck,Liquids,1975,non-energy,0.93337647
India,trn_freight_road,Truck,Liquids,1990,non-energy,0.93337647
India,trn_freight_road,Truck,Liquids,2005,non-energy,0.93337647
India,trn_freight_road,Truck,Liquids,2010,non-energy,0.046881416
India,trn_freight_road,Truck,Liquids,2015,non-energy,0.046966478
India,trn_freight_road,Truck,Liquids,2020,non-energy,0.048448689
India,trn_freight_road,Truck,Liquids,2025,non-energy,0.049977677
India,trn_freight_road,Truck,Liquids,2030,non-energy,0.051506665
India,trn_freight_road,Truck,Liquids,2035,non-energy,0.053054075
India,trn_freight_road,Truck,Liquids,2040,non-energy,0.054840968
India,trn_freight_road,Truck,Liquids,2045,non-energy,0.056627862
India,trn_freight_road,Truck,Liquids,2050,non-energy,0.05841475
India,trn_freight_road,Truck,Liquids,2055,non-energy,0.05841475
India,trn_freight_road,Truck,Liquids,2060,non-energy,0.05841475
India,trn_freight_road,Truck,Liquids,2065,non-energy,0.05841475
India,trn_freight_road,Truck,Liquids,2070,non-energy,0.05841475
India,trn_freight_road,Truck,Liquids,2075,non-energy,0.05841475
India,trn_freight_road,Truck,Liquids,2080,non-energy,0.05841475
India,trn_freight_road,Truck,Liquids,2085,non-energy,0.05841475
India,trn_freight_road,Truck,Liquids,2090,non-energy,0.05841475
India,trn_freight_road,Truck,Liquids,2095,non-energy,0.05841475
India,trn_freight_road,Truck,Liquids,2100,non-energy,0.05841475
India,trn_pass,Domestic Aviation,Liquids,1975,non-energy,9.5572
India,trn_pass,Domestic Aviation,Liquids,1990,non-energy,9.5572
India,trn_pass,Domestic Aviation,Liquids,2005,non-energy,9.5572
India,trn_pass,Domestic Aviation,Liquids,2010,non-energy,9.3242
India,trn_pass,Domestic Aviation,Liquids,2015,non-energy,9.0912
India,trn_pass,Domestic Aviation,Liquids,2020,non-energy,8.8582
India,trn_pass,Domestic Aviation,Liquids,2025,non-energy,8.7485
India,trn_pass,Domestic Aviation,Liquids,2030,non-energy,8.6388
India,trn_pass,Domestic Aviation,Liquids,2035,non-energy,8.5291
India,trn_pass,Domestic Aviation,Liquids,2040,non-energy,8.6156
India,trn_pass,Domestic Aviation,Liquids,2045,non-energy,8.7021
India,trn_pass,Domestic Aviation,Liquids,2050,non-energy,8.7886
India,trn_pass,Domestic Aviation,Liquids,2055,non-energy,8.7886
India,trn_pass,Domestic Aviation,Liquids,2060,non-energy,8.7886
India,trn_pass,Domestic Aviation,Liquids,2065,non-energy,8.7886
India,trn_pass,Domestic Aviation,Liquids,2070,non-energy,8.7886
India,trn_pass,Domestic Aviation,Liquids,2075,non-energy,8.7886
India,trn_pass,Domestic Aviation,Liquids,2080,non-energy,8.7886
India,trn_pass,Domestic Aviation,Liquids,2085,non-energy,8.7886
India,trn_pass,Domestic Aviation,Liquids,2090,non-energy,8.7886
India,trn_pass,Domestic Aviation,Liquids,2095,non-energy,8.7886
India,trn_pass,Domestic Aviation,Liquids,2100,non-energy,8.7886
India,trn_pass,HSR,Electric,1975,non-energy,17.1951
India,trn_pass,HSR,Electric,1990,non-energy,17.1951
India,trn_pass,HSR,Electric,2005,non-energy,17.1951
India,trn_pass,HSR,Electric,2010,non-energy,13.5903
India,trn_pass,HSR,Electric,2015,non-energy,9.9856
India,trn_pass,HSR,Electric,2020,non-energy,6.3808
India,trn_pass,HSR,Electric,2025,non-energy,6.3809
India,trn_pass,HSR,Electric,2030,non-energy,6.381
India,trn_pass,HSR,Electric,2035,non-energy,6.3811
India,trn_pass,HSR,Electric,2040,non-energy,6.3811
India,trn_pass,HSR,Electric,2045,non-energy,6.3811
India,trn_pass,HSR,Electric,2050,non-energy,6.3811
India,trn_pass,HSR,Electric,2055,non-energy,6.3812
India,trn_pass,HSR,Electric,2060,non-energy,6.3813
India,trn_pass,HSR,Electric,2065,non-energy,6.3814
India,trn_pass,HSR,Electric,2070,non-energy,6.3814
India,trn_pass,HSR,Electric,2075,non-energy,6.3815
India,trn_pass,HSR,Electric,2080,non-energy,6.3815
India,trn_pass,HSR,Electric,2085,non-energy,6.3815
India,trn_pass,HSR,Electric,2090,non-energy,6.3816
India,trn_pass,HSR,Electric,2095,non-energy,6.3816
India,trn_pass,HSR,Electric,2100,non-energy,6.3816
India,trn_pass,Passenger Rail,Electric,1975,non-energy,3.1904
India,trn_pass,Passenger Rail,Electric,1990,non-energy,3.1904
India,trn_pass,Passenger Rail,Electric,2005,non-energy,3.1904
India,trn_pass,Passenger Rail,Electric,2010,non-energy,3.1904
India,trn_pass,Passenger Rail,Electric,2015,non-energy,3.1904
India,trn_pass,Passenger Rail,Electric,2020,non-energy,3.1904
India,trn_pass,Passenger Rail,Electric,2025,non-energy,3.1904
India,trn_pass,Passenger Rail,Electric,2030,non-energy,3.1905
India,trn_pass,Passenger Rail,Electric,2035,non-energy,3.1905
India,trn_pass,Passenger Rail,Electric,2040,non-energy,3.1905
India,trn_pass,Passenger Rail,Electric,2045,non-energy,3.1906
India,trn_pass,Passenger Rail,Electric,2050,non-energy,3.1906
India,trn_pass,Passenger Rail,Electric,2055,non-energy,3.1907
India,trn_pass,Passenger Rail,Electric,2060,non-energy,3.1907
India,trn_pass,Passenger Rail,Electric,2065,non-energy,3.1907
India,trn_pass,Passenger Rail,Electric,2070,non-energy,3.1907
India,trn_pass,Passenger Rail,Electric,2075,non-energy,3.1908
India,trn_pass,Passenger Rail,Electric,2080,non-energy,3.1908
India,trn_pass,Passenger Rail,Electric,2085,non-energy,3.1908
India,trn_pass,Passenger Rail,Electric,2090,non-energy,3.1908
India,trn_pass,Passenger Rail,Electric,2095,non-energy,3.1909
India,trn_pass,Passenger Rail,Electric,2100,non-energy,3.1909
India,trn_pass,Passenger Rail,Liquids,1975,non-energy,3.8473
India,trn_pass,Passenger Rail,Liquids,1990,non-energy,3.8473
India,trn_pass,Passenger Rail,Liquids,2005,non-energy,3.8473
India,trn_pass,Passenger Rail,Liquids,2010,non-energy,3.8475
India,trn_pass,Passenger Rail,Liquids,2015,non-energy,3.8478
India,trn_pass,Passenger Rail,Liquids,2020,non-energy,3.848
India,trn_pass,Passenger Rail,Liquids,2025,non-energy,3.8482
India,trn_pass,Passenger Rail,Liquids,2030,non-energy,3.8485
India,trn_pass,Passenger Rail,Liquids,2035,non-energy,3.8487
India,trn_pass,Passenger Rail,Liquids,2040,non-energy,3.849
India,trn_pass,Passenger Rail,Liquids,2045,non-energy,3.8492
India,trn_pass,Passenger Rail,Liquids,2050,non-energy,3.8495
India,trn_pass,Passenger Rail,Liquids,2055,non-energy,3.8497
India,trn_pass,Passenger Rail,Liquids,2060,non-energy,3.8499
India,trn_pass,Passenger Rail,Liquids,2065,non-energy,3.8501
India,trn_pass,Passenger Rail,Liquids,2070,non-energy,3.8504
India,trn_pass,Passenger Rail,Liquids,2075,non-energy,3.8506
India,trn_pass,Passenger Rail,Liquids,2080,non-energy,3.8508
India,trn_pass,Passenger Rail,Liquids,2085,non-energy,3.8511
India,trn_pass,Passenger Rail,Liquids,2090,non-energy,3.8513
India,trn_pass,Passenger Rail,Liquids,2095,non-energy,3.8516
India,trn_pass,Passenger Rail,Liquids,2100,non-energy,3.8516
India,trn_pass_road,Bus,BEV,1975,non-energy,0.27625996
India,trn_pass_road,Bus,BEV,1990,non-energy,0.230243731
India,trn_pass_road,Bus,BEV,2005,non-energy,0.191892359
India,trn_pass_road,Bus,BEV,2010,non-energy,0.159929121
India,trn_pass_road,Bus,BEV,2015,non-energy,0.133289954
India,trn_pass_road,Bus,BEV,2020,non-energy,0.109966182
